Date Added,Company,Title,Location,Salary,Type,Status,URL
2025-06-22,Scale AI,Strategic Projects Lead - New Grad (2026 Season),"San Francisco, CA; New York, NY; Seattle, WA","$112,000 – $140,000 USD",Full-time,Not Applied,https://scale.com/careers/4552958005
2025-06-22,Rivian,Data Engineer,"Palo Alto, California",,,Not Applied,https://careers.rivian.com/careers-home/jobs/23672?lang=en-us&previousLocale=en-US
2025-06-22,Rivian,,,,,Not Applied,https://careers.rivian.com/careers-home/jobs/23672?lang=en-us&previousLocale=en-US
2025-06-22,Rivian,,,,,Not Applied,https://careers.rivian.com/careers-home/jobs/23672?lang=en-us&previousLocale=en-US
2025-06-22,Rivian,,,,,Not Applied,https://careers.rivian.com/careers-home/jobs/23672?lang=en-us&previousLocale=en-US
2025-06-22,Rivian,Data Engineer,"Palo Alto, California",,,Not Applied,https://careers.rivian.com/careers-home/jobs/23672?lang=en-us&previousLocale=en-US
2025-06-22,Scale AI,Strategic Projects Lead - New Grad (2026 Season),"San Francisco, CA; New York, NY; Seattle","$112,000 – $140,000",Full-time,Not Applied,https://scale.com/careers/4552958005
2025-06-22,Rivian,Data Engineer,"Palo Alto, California",,,Not Applied,https://careers.rivian.com/careers-home/jobs/23672?lang=en-us&previousLocale=en-US
2025-06-22,Rivian,,,,,Not Applied,https://careers.rivian.com/careers-home/jobs/23672?lang=en-us&previousLocale=en-US
2025-06-22,Scale AI,Strategic Projects Lead - New Grad (2026 Season),"San Francisco, CA; New York, NY; Seattle","$112,000 – $140,000",Full-time,Not Applied,https://scale.com/careers/4552958005
2025-06-22,Rivian,Data Engineer,"Palo Alto, California","$105,100-$131,400",,Not Applied,https://careers.rivian.com/careers-home/jobs/23672?lang=en-us&previousLocale=en-US
